,name,region,group,inosinate,guanylate,adenylic,glutamate,aspartate,threonine,serine,asparagine,glutamine,proline,glycine,alanine,valine,cysteine,methionine,isoleucine,leucine,tyrosine,phenylalanine,tryptophan,lysine,histidine,arginine,source,judgment
0,Alaska king crab H,Japan,Fishes and Shellfishes,,,,38.0,20.0,35.0,30.0,109.0,,75.0,136.0,128.0,60.0,,30.0,44.0,86.0,56.0,60.0,13.0,77.0,21.0,201.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
1,Alaska king crab L(F),Japan,Fishes and Shellfishes,,,,55.0,3.0,52.0,58.0,204.0,,226.0,412.0,180.0,64.0,,43.0,54.0,86.0,37.0,49.0,0.0,66.0,29.0,529.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
2,Alaska king crab L(M),Japan,Fishes and Shellfishes,,,,72.0,10.0,35.0,17.0,255.0,,502.0,611.0,186.0,54.0,,38.0,31.0,63.0,56.0,54.0,0.0,56.0,31.0,775.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
3,Alaska king crab O,Japan,Fishes and Shellfishes,,,,30.0,5.0,12.0,17.0,34.0,,72.0,190.0,72.0,16.0,,11.0,14.0,26.0,17.0,19.0,24.0,53.0,14.0,173.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
4,"Albacore, longline fishing",Japan,Fishes and Shellfishes,140.0,,,15.1,1.1,2.1,1.1,,,14.0,3.1,18.0,9.1,,5.0,4.1,9.1,5.1,4.0,,36.0,679.0,5.1,"Y. Murata  et al. (1994) Fisheries Science 60,473-478",unexceptional
5,Alpine leak,Japan,Vegetables,,,,24.6,23.5,4.2,17.2,,,0.0,4.5,22.0,12.5,0.6,0.0,2.9,2.4,1.7,0.8,0.0,1.0,0.0,1.5,"M. Kashima et al. (2010) Bulletin of the Food Research Institute, Toyama Prefectural Agricultural, Forestry and Fisheries Research Center 1, 13-22",unexceptional
6,Amazake,Japan,Beverages,,,,101.0,64.0,28.0,46.0,,,28.0,30.0,53.0,44.0,0.0,20.0,31.0,65.0,50.0,37.0,10.0,34.0,13.0,76.0,,unexceptional
7,"ancho (chili pepper), dried",Mexico,Vegetables,,0.0,,32.0,137.0,39.0,67.0,587.0,0.0,83.0,14.0,85.0,39.0,0.0,0.0,22.0,33.0,24.0,42.0,5.0,18.0,0.0,31.0,Umami Information Center,unexceptional
8,Anchovy,Japan Ehime,Fishes and Shellfishes,,,,9.0,0.0,9.0,9.0,,,0.0,10.0,48.0,9.0,0.0,5.0,12.0,23.0,10.0,9.0,,28.0,386.0,16.0,"Y. Hiraoka et al. (2011)  Ehime Prefecture Industrial Technology Institute Research Report 49, 19－22",bad
9,"Anchovy, marinated in olive oil",Albania,Fishes and Shellfishes,,,,1440.0,1440.0,780.0,720.0,,,430.0,500.0,1060.0,970.0,40.0,470.0,830.0,1220.0,440.0,650.0,220.0,1500.0,820.0,880.0,source:Umami Information Center,very good
10,"Anchovy, marinated in olive oil",Italy,Fishes and Shellfishes,,,,630.0,469.0,291.0,273.0,,,149.0,186.0,448.0,378.0,17.0,240.0,360.0,653.0,137.0,289.0,84.0,610.0,457.0,358.0,"Y. Yoshoda (1998) Food Rev. Int. 14(2&3), 213-246",good
11,Anglerfish,Japan,Fishes and Shellfishes,4.0,,,17.0,2.0,23.0,12.0,,,22.0,63.0,18.0,6.0,,2.0,2.0,5.0,3.0,3.0,,65.0,5.0,9.0,"S. Kounosu et al（1974）Bulletin of Japanese Society of Scientific Fisheries, 40, 9, 909-915",unexceptional
12,Apple juice (red),Japan,Beverages,,,,3.0,25.0,0.0,2.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,bad
13,Apple juice (yellow and green),Japan,Beverages,,,,2.1,23.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,bad
14,"Apple, Fuji",Japan Toyama,Fruits,,,,1.9,32.4,0.2,0.7,,,0.0,0.1,0.2,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"M. Kashima et al. (2010) Bulletin of the Food Research Institute, Toyama Prefectural Agricultural, Forestry and Fisheries Research Center 1, 13-22",bad
15,"Apple, Indian",Japan,Fruits,,,,4.9,12.8,0.4,1.8,18.3,,,,1.3,0.6,,,0.5,,,,,,,,"T. Suzuki et al. (1976) Food Research Institute Report, 31, 42-70",bad
16,"Apple, Kokko",Japan,Fruits,,,,3.1,8.1,,1.1,33.8,0.5,,,0.9,0.4,,,0.2,,,,,,,,"T. Suzuki et al. (1976) Food Research Institute Report, 31, 42-70",bad
17,"Apple, Mutsu",Japan,Fruits,,,,2.2,2.9,0.2,0.7,11.2,0.5,,,31.12,,,,,,,,,,,,"T. Suzuki et al. (1976) Food Research Institute Report, 31, 42-70",bad
18,"Apple, Orin",Japan,Fruits,,,,1.5,17.3,0.9,4.2,123.8,1.7,,0.0,3.8,31.12,,,0.6,0.2,30.12,1.2,,30.12,,0.0,"T. Suzuki et al. (1976) Food Research Institute Report, 31, 42-70",bad
19,"Aralia sprout, cultured, medium size",Japan,Vegetables,,,,3.8,26.3,6.5,15.6,26.7,28.8,2.2,0.64,6.3,6.8,,0.2,5.6,5.1,5.4,12.8,,3.5,10.8,8.96,"T. Mizuno et al (2012) J. for the Integrated Study of Dietary Habits, 23, 2, 70－76",bad
20,"Aralia sprout, wild",Japan Yamagata,Vegetables,,,,2.16,26.48,32.65,71.53,180.52,107.84,75.36,4.8,19.0,54.54,,2.04,36.5,31.18,17.92,36.56,,20.6,55.42,105.28,"T. Mizuno et al (2012) J. for the Integrated Study of Dietary Habits, 23, 2, 70－76",bad
21,Araza,Peru,Fruits,,,,11.1,0.0,30.12,0.0,0.0,2.0,0.0,0.0,1.1,30.12,0.0,0.0,30.12,30.12,30.12,30.12,30.12,0.0,30.12,0.0,うま味インフォメーション調べ,unexceptional
22,arrow head,Japan,Vegetables,,,,8.9,8.2,9.9,16.1,266.0,10.0,0.8,0.7,2.7,1.6,0.0,0.5,1.9,1.7,1.1,1.5,5.1,3.0,4.7,199.0,Hinako Ito and Hiroshi Ueno,bad
23,artichoke,Japan,Vegetables,,,,2.2,3.3,3.2,4.3,148.0,32.0,4.8,0.2,3.1,3.7,0.0,0.0,1.8,0.7,0.5,5.0,2.7,0.3,3.4,13.0,Hinako Ito and Hiroshi Ueno,bad
24,Australian yeast extract,Australia,Seasonings and Spices,0.0,0.0,,1020.0,500.0,410.0,570.0,440.0,0.0,230.0,380.0,1000.0,630.0,0.0,220.0,510.0,1000.0,440.0,580.0,110.0,450.0,190.0,590.0,Umami Information Center,very good
25,Avocado,Japan,Vegetables,,,,18.0,4.2,12.1,24.1,30.12,0.0,15.0,12.0,25.1,18.1,1.0,4.0,13.0,22.0,4.1,8.0,3.0,19.0,7.0,13.0,"K. Ninomiya Food Rev.Int.,14(2&3),177-211 Natural Occurrence Table 7(1998)",unexceptional
26,Avocado,Japan,Vegetables,,,,111.2,11.4,2.6,21.1,15.6,83.8,,1.0,21.9,3.9,,,0.6,1.0,7.6,0.8,,0.8,,,"T. Suzuki et al. (1976) Food Research Institute Report, 31, 42-70",unexceptional
27,ayu fish sauce,Japan,Seasonings and Spices,,,,277.0,399.0,24.6,283.0,,,112.0,180.0,272.0,464.0,49.0,107.0,573.0,,28.09,290.0,,378.0,56.0,522.0,"Ole G. Mouritsen, Lars Duelund, Ghislaine Calleja, et al. Ile=Ile+Leu",unexceptional
28,"Bacalau, dried Cod with salt",Brazil,Fishes and Shellfishes,,,,10.67,5.83,11.9,8.81,,,,33.86,21.47,14.14,,3.44,8.31,6.86,12.04,8.24,,2.88,,25.78,source:Umami Information Center,unexceptional
29,Balsamic vinegar,Italy,Seasonings and Spices,,,,0.0,0.0,0.0,0.0,,,96.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,source:Umami Information Center,bad
30,Bamboo shoots,Japan,Vegetables,,,,14.0,12.0,4.0,11.0,16.0,12.0,6.0,2.0,4.0,6.0,0.0,2.0,6.0,8.0,415.0,12.0,18.0,6.0,12.0,6.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
31,"Bamboo shoots, Mosochiku, 10 days after harvest preserved in the dark at 1℃",Japan Hyogo,Vegetables,,,,70.0,54.0,65.0,,,,,4.0,31.0,55.0,,14.0,29.0,35.0,973.0,7.0,,8.0,14.0,10.0,E. KozukueJournal of Japanese Society of Nutrition and Food Science49－53,unexceptional
32,"Bamboo shoots, Mosochiku, 2hours after harvest",Japan Hyogo,Vegetables,,,,87.0,67.0,200.0,,,,,2.0,29.0,58.0,,16.0,34.0,41.0,931.0,12.0,,7.0,17.0,14.0,E. KozukueJournal of Japanese Society of Nutrition and Food Science49－53,unexceptional
33,barbecue sauce (Sweet Baby Ray's) Sweet 'n spicy,USA,Seasonings and Spices,0.0,0.0,,149.0,73.0,8.0,9.0,37.0,0.0,4.0,2.0,25.0,3.0,0.0,0.0,4.0,4.0,3.0,11.0,0.0,6.0,4.0,8.0,,unexceptional
